job_id,job_title,job_description
J001,ML Engineer,"We're hiring an ML Engineer to support model development and productionization. Required: 3+ years building models, experience with PyTorch or TensorFlow, Python, version control (git), Docker. Preferred: Kubernetes experience, running experiments at scale, MLops, experience with cloud (AWS/GCP). Responsibilities: collaborate with data engineers to deploy models, write tests, monitor model performance. Nice to have: experience with NLP or computer vision."
J002,Data Analyst,"Looking for a Data Analyst to join our analytics team. Required: strong SQL skills, experience with BI tools (Tableau or Power BI), Excel. Comfortable with ad-hoc analysis and dashboarding. Preferred: Python (pandas), some statistical knowledge, experience with Redshift or BigQuery. Role: produce weekly reports, work with stakeholders, translate requirements into dashboards. Nice to have: basic scripting and familiarity with A/B testing concepts."
J003,HR Recruiter,"We need an HR Recruiter to manage full-cycle recruiting. Required: experience with ATS (Greenhouse, Workable or similar), sourcing, screening, stakeholder communication. Preferred: experience with campus recruiting, employer branding, and basic people analytics reporting. Responsibilities: own hiring pipeline, coordinate interviews, maintain candidate communication. Nice to have: familiarity with HRIS systems and employment law basics."
J004,People Analytics Analyst,"People Analytics Analyst role: Required: experience analyzing HR and people data, working with Excel and SQL, building dashboards for leadership. Preferred: experience with statistical analysis, R or Python for modeling, familiarity with HRIS exports and data privacy considerations. Responsibilities: develop people metrics, run attrition and engagement analyses, partner with HR business partners. Nice to have: experience with Tableau/PowerBI and data engineering basics."
J005,Data Analyst,"Hiring: Data Analyst (growth/ops focus). Required: strong SQL, experience with dashboards and tracking KPIs, comfortable with messy event data. Preferred: familiarity with BigQuery, Python for ETL, experience with experimentation (A/B). Responsibilities include building reports, collaborating with product and marketing, cleaning data and defining metrics. Nice to have: knowledge of tracking plan and event schemas."
J006,ML Engineer,"Senior ML Engineer — Responsible for end-to-end ML lifecycle. Required: proven experience in model deployment, Docker, cloud (AWS or GCP), proficiency in PyTorch or TensorFlow, Python, and monitoring in production. Preferred: ML infrastructure experience (Kubernetes, airflow), familiarity with embedding models and similarity search. Responsibilities: mentor junior engineers, design scalable model infra, collaborate closely with data scientists. Nice to have: background in NLP or CV, experience with feature stores."
J007,Senior Data Engineer,"Looking for Senior Data Engineer to build scalable data platforms. Required: Spark, Airflow, BigQuery/Redshift, strong SQL, Python/Scala. Preferred: Kafka, data modeling, experience building ETL at scale. Responsibilities: design ingestion pipelines, ensure data quality, mentor junior engineers."
J008,BI Developer,"BI Developer role: Required: Tableau or PowerBI, SQL, data modeling skills, experience designing dashboards for leadership. Preferred: ETL knowledge, Python scripting for data transforms. Responsibilities: deliver dashboards, work with business stakeholders to define metrics."
J009,ML Researcher,"Hiring ML Researcher focusing on NLP or CV. Required: background in machine learning research, familiarity with PyTorch/TensorFlow, publications or strong prototypes. Preferred: experience with transformers and representation learning. Responsibilities: prototype models, collaborate with engineering to move models toward production."
J010,Backend Engineer,"Backend Engineer — Required: server-side development (Java, Go, or Node), API design, database experience (SQL/NoSQL). Preferred: cloud deployment experience, containerization, and monitoring. Responsibilities: implement and maintain backend services, ensure reliability and performance."
J011,HRIS Analyst,"HRIS Analyst role: Required: experience with HRIS systems, data exports, working with HR and IT teams. Preferred: SQL for data extracts, reporting tools, and integrations experience. Responsibilities: manage HR system data, support reporting and integrations."
J012,People Ops Manager,"People Ops Manager: Required: people ops experience, program management, and HR operations knowledge. Preferred: experience with people analytics, HRIS, and process improvements. Responsibilities: lead onboarding and policy programs, collaborate with HR leadership."
J013,Data Scientist,"Data Scientist — Required: statistical modeling, python, scikit-learn, SQL. Preferred: experience with ML pipelines, experimentation, and communicating results to stakeholders. Responsibilities: build models and analysis to drive product decisions."
J014,DevOps Engineer,"DevOps Engineer role: Required: CI/CD, Kubernetes, Terraform, monitoring systems. Preferred: experience supporting data platforms and ML infra. Responsibilities: build deploy pipelines, automate infra, ensure system reliability."
J015,Talent Acquisition Lead,"Talent Acquisition Lead: Required: full-cycle recruiting experience, hiring strategies, employer branding. Preferred: experience with ATS, campus recruiting, and recruitment metrics. Responsibilities: lead sourcing strategy and manage recruiting team."
J016,Product Analytics Manager,"Product Analytics Manager: Required: strong analytics background, SQL, dashboarding, ability to partner with product and engineering. Preferred: A/B testing expertise and experience building analytics teams. Responsibilities: own product metrics and experimentation strategy."
J017,Junior Data Engineer,"Junior Data Engineer — Entry-level role assisting with ETL and data quality. Required: SQL, some scripting (Python). Preferred: exposure to Airflow or other workflow tools. Responsibilities: support pipelines and data fixes."
J018,Embedding Engineer,"Embedding Engineer: Required: experience with embedding models, similarity search, and vector stores. Preferred: PyTorch, FAISS or other similarity tooling, and deploying retrieval systems. Responsibilities: build semantic search and similarity infrastructure."
J019,Recruiter,"Recruiter: Required: sourcing and screening, experience with ATS and stakeholder coordination. Preferred: experience with diversity hiring initiatives and metrics. Responsibilities: manage candidate pipelines and screening."
J020,Senior Analytics Engineer,"Senior Analytics Engineer: Required: SQL, db modeling, ETL design, analytics engineering tools. Preferred: dbt, warehouse experience, and mentoring analytics engineers. Responsibilities: design robust transformations and maintain data models."
J021,People Analytics Lead,"People Analytics Lead: Required: deep experience in people analytics, statistical analysis, SQL/R, building dashboards for leadership. Preferred: HR domain knowledge and experience influencing HR strategy. Responsibilities: lead people analytics practice and partner with HR leaders."
